actor2,vote_averages,no. of entries,sum of scores,Rank (Vote average),Rank (Sum),Average Rank,Final Ranking
Leon Russell,9.666666666666666,3,29.0,67.0,1462.5,764.75,1.0
Stan Brakhage,8.733333333333333,3,26.2,175.0,1693.0,934.0,2.0
Irene Worth,8.0,4,32.0,653.5,1264.0,958.75,3.0
Sofie Gråbøl,8.5,3,25.5,241.0,1767.0,1004.0,4.0
Werner Herzog,7.40909090909091,11,81.50000000000001,1861.0,151.0,1006.0,5.0
Damián Alcázar,7.720000000000001,5,38.6,1120.0,921.0,1020.5,6.0
Michiyo Aratama,7.8999999999999995,4,31.599999999999998,927.0,1294.5,1110.75,7.0
Hiroshi Kamiya,8.266666666666667,3,24.8,369.0,1857.0,1113.0,8.0
Yûzô Kayama,7.874999999999999,4,31.499999999999996,928.0,1301.0,1114.5,9.0
Yuriko Yoshitaka,8.166666666666666,3,24.5,410.0,1895.0,1152.5,10.0
Luna Mijovic,8.133333333333333,3,24.4,415.0,1903.5,1159.25,11.0
Machiko Kyô,7.6,5,38.0,1400.0,945.0,1172.5,12.0
Adam Curtis,8.066666666666668,3,24.200000000000003,474.0,1927.5,1200.75,13.0
Setsuko Hara,8.033333333333333,3,24.1,478.0,1944.0,1211.0,14.0
Joshua Homme,10.0,2,20.0,33.0,2471.5,1252.25,15.0
David Tennant,7.449999999999999,6,44.699999999999996,1851.0,715.0,1283.0,16.0
Jean-Pierre Léaud,7.433333333333334,6,44.6,1856.0,717.0,1286.5,17.0
Kajol,7.399999999999999,7,51.79999999999999,2119.0,514.0,1316.5,18.0
Tony Leung Chiu-Wai,7.371428571428572,7,51.6,2122.0,516.0,1319.0,19.0
John Cleese,7.342857142857143,7,51.400000000000006,2136.0,520.0,1328.0,20.0
Takashi Shimura,7.328571428571427,7,51.29999999999999,2143.0,524.0,1333.5,21.0
Gunnar Björnstrand,7.625,4,30.5,1316.0,1373.0,1344.5,22.0
Hart Bochner,9.5,2,19.0,75.5,2644.5,1360.0,23.0
Sreenivasan,7.933333333333334,3,23.8,832.0,1976.5,1404.25,25.0
Sakura Tange,7.933333333333334,3,23.8,832.0,1976.5,1404.25,25.0
Michel Joelsas,7.933333333333334,3,23.8,832.0,1976.5,1404.25,25.0
Charles Farrell,7.44,5,37.2,1854.0,976.5,1415.25,27.0
Yu Aoi,7.2666666666666675,9,65.4,2534.0,297.0,1415.5,28.0
Peppino De Filippo,7.42,5,37.1,1860.0,985.5,1422.75,29.5
Charles Vanel,7.383333333333334,6,44.300000000000004,2120.0,725.5,1422.75,29.5
Dolores Fuller,9.25,2,18.5,92.0,2757.0,1424.5,31.0
Sharmila Tagore,7.55,4,30.2,1497.0,1386.0,1441.5,32.5
Arielle Dombasle,7.55,4,30.2,1497.0,1386.0,1441.5,32.5
Andre Braugher,7.525,4,30.1,1502.0,1392.0,1447.0,34.0
Tarık Akan,7.866666666666667,3,23.6,929.0,1996.0,1462.5,35.0
Louis C.K.,7.4,5,37.0,1989.0,995.0,1492.0,36.0
Charlie Alberto,9.0,2,18.0,125.5,2870.5,1498.0,37.5
Kyle Kinane,9.0,2,18.0,125.5,2870.5,1498.0,37.5
Soumitra Chatterjee,7.8,3,23.4,1023.5,2019.5,1521.5,39.0
Ian McKellen,7.228571428571429,7,50.6,2581.0,540.0,1560.5,40.0
Tony Musante,8.8,2,17.6,167.0,2956.5,1561.75,41.0
Karuna Bannerjee,7.766666666666667,3,23.3,1109.0,2028.0,1568.5,42.0
Clint Eastwood,7.2,8,57.6,2725.5,415.0,1570.25,43.0
Tannishtha Chatterjee,8.75,2,17.5,173.5,2975.5,1574.5,44.5
Brad Williams,8.75,2,17.5,173.5,2975.5,1574.5,44.5
Ingrid Caven,7.733333333333333,3,23.2,1119.0,2039.0,1579.0,46.0
Jenny Kitseli,8.65,2,17.3,193.5,3009.5,1601.5,47.5
David Gilmour,8.65,2,17.3,193.5,3009.5,1601.5,47.5
Björk,8.649999999999999,2,17.299999999999997,195.0,3021.5,1608.25,49.0
Takako Honda,7.475,4,29.9,1838.5,1413.0,1625.75,50.5
Jim Cummings,7.475,4,29.9,1838.5,1413.0,1625.75,50.5
Louis Theroux,7.122222222222222,9,64.1,2944.0,315.0,1629.5,52.5
Jean Constantin,7.7,3,23.1,1209.5,2049.5,1629.5,52.5
Nobuko Miyamoto,7.425,4,29.7,1858.5,1426.0,1642.25,54.5
Adile Naşit,7.425,4,29.7,1858.5,1426.0,1642.25,54.5
Glenn Greenwald,8.45,2,16.9,275.0,3081.5,1678.25,56.0
Kevin Conroy,7.3,5,36.5,2341.0,1027.5,1684.25,57.0
John Cazale,7.633333333333333,3,22.9,1314.5,2070.5,1692.5,58.5
Liselotte Pulver,7.633333333333333,3,22.9,1314.5,2070.5,1692.5,58.5
Jan-Michael Vincent,8.4,2,16.8,287.5,3098.5,1693.0,62.5
Bob Holt,8.4,2,16.8,287.5,3098.5,1693.0,62.5
Nikola Ristanovski,8.4,2,16.8,287.5,3098.5,1693.0,62.5
Guillermo del Toro,8.4,2,16.8,287.5,3098.5,1693.0,62.5
Halit Akçatepe,8.4,2,16.8,287.5,3098.5,1693.0,62.5
John Jarratt,8.4,2,16.8,287.5,3098.5,1693.0,62.5
Suzanne Clément,7.6000000000000005,3,22.8,1317.0,2079.0,1698.0,66.0
Takahiro Miura,8.350000000000001,2,16.700000000000003,300.0,3111.5,1705.75,67.0
Nicoletta Machiavelli,8.35,2,16.7,301.0,3120.0,1710.5,68.0
Dave Attell,7.1571428571428575,7,50.1,2900.0,556.5,1728.25,69.0
Peter Kubelka,8.3,2,16.6,335.0,3136.5,1735.75,71.5
Larry Bird,8.3,2,16.6,335.0,3136.5,1735.75,71.5
Yannis Tsimitselis,8.3,2,16.6,335.0,3136.5,1735.75,71.5
Jerry Garcia,8.3,2,16.6,335.0,3136.5,1735.75,71.5
Mariangela Melato,7.114285714285714,7,49.8,2947.0,564.5,1755.75,74.0
Yûnosuke Itô,8.25,2,16.5,370.0,3157.0,1763.5,75.0
Mary Beth Hurt,7.375,4,29.5,2121.0,1435.0,1778.0,76.0
Rupert Grint,7.019999999999999,10,70.19999999999999,3316.0,245.5,1780.75,77.0
Scott Mosier,8.2,2,16.4,390.0,3175.5,1782.75,78.5
Jun Fubuki,8.2,2,16.4,390.0,3175.5,1782.75,78.5
Trevor Noah,7.599999999999999,3,22.799999999999997,1483.0,2085.5,1784.25,80.0
Patrick Bouchitey,7.279999999999999,5,36.4,2533.0,1036.0,1784.5,81.0
James Franciscus,7.566666666666666,3,22.7,1484.0,2091.0,1787.5,82.0
Danielle Darrieux,7.26,5,36.3,2539.0,1039.0,1789.0,83.0
Tatsuya Nakadai,7.077777777777778,9,63.7,3258.0,323.0,1790.5,84.0
Charlie Adler,7.533333333333334,3,22.6,1500.5,2099.0,1799.75,85.5
Charley Boorman,7.533333333333334,3,22.6,1500.5,2099.0,1799.75,85.5
Minami Takayama,8.15,2,16.3,412.0,3192.5,1802.25,88.0
Julie Condra,8.15,2,16.3,412.0,3192.5,1802.25,88.0
Desi Arnaz,8.15,2,16.3,412.0,3192.5,1802.25,88.0
Tom Segura,8.149999999999999,2,16.299999999999997,414.0,3204.0,1809.0,90.0
Kevin Eldon,8.100000000000001,2,16.200000000000003,416.0,3208.0,1812.0,91.0
May Robson,8.1,2,16.2,445.0,3217.0,1831.0,94.0
Haluk Bilginer,8.1,2,16.2,445.0,3217.0,1831.0,94.0
Portia Doubleday,8.1,2,16.2,445.0,3217.0,1831.0,94.0
Edward Snowden,8.1,2,16.2,445.0,3217.0,1831.0,94.0
Allen Iverson,8.1,2,16.2,445.0,3217.0,1831.0,94.0
Grace Kelly,7.075,8,56.6,3259.5,432.0,1845.75,97.0
Benedict Cumberbatch,7.133333333333334,6,42.800000000000004,2934.5,761.5,1848.0,98.0
Filip Peeters,8.05,2,16.1,476.0,3233.5,1854.75,100.0
Tony Goldwyn,8.05,2,16.1,476.0,3233.5,1854.75,100.0
Clémentine Célarié,8.05,2,16.1,476.0,3233.5,1854.75,100.0
Keye Luke,7.116666666666666,6,42.699999999999996,2946.0,767.5,1856.75,102.0
Audrey Hepburn,7.1000000000000005,6,42.6,2953.0,770.5,1861.75,103.0
David Bowie,7.2,5,36.0,2725.5,1052.5,1889.0,104.0
Akio Ohtsuka,7.5,3,22.5,1670.0,2110.5,1890.25,105.0
Maggie Cheung,7.042857142857143,7,49.3,3299.0,576.5,1937.75,106.0
Richard Kuklinski,8.0,2,16.0,653.5,3251.0,1952.25,109.0
Ousmane Sembene,8.0,2,16.0,653.5,3251.0,1952.25,109.0
Jimmy Page,8.0,2,16.0,653.5,3251.0,1952.25,109.0
Rory Scovel,8.0,2,16.0,653.5,3251.0,1952.25,109.0
Joel Torre,8.0,2,16.0,653.5,3251.0,1952.25,109.0
Mamoru Miyano,7.18,5,35.9,2887.0,1059.0,1973.0,112.0
Kemal Sunal,7.466666666666668,3,22.400000000000002,1840.0,2117.0,1978.5,113.0
Serge Reggiani,7.159999999999999,5,35.8,2899.0,1065.0,1982.0,114.0
John Lund,7.433333333333334,3,22.3,1856.0,2132.0,1994.0,115.5
پیمان معادی,7.433333333333334,3,22.3,1856.0,2132.0,1994.0,115.5
Àlex Brendemühl,7.400000000000001,3,22.200000000000003,1862.5,2140.0,2001.25,117.5
Matt Smith,7.400000000000001,3,22.200000000000003,1862.5,2140.0,2001.25,117.5
Peter Capaldi,7.119999999999999,5,35.599999999999994,2945.0,1070.0,2007.5,119.0
Rishi Kapoor,7.25,4,29.0,2554.0,1462.5,2008.25,120.0
Keith Richards,7.066666666666666,6,42.4,3263.5,776.0,2019.75,121.0
Diana Rigg,7.033333333333334,6,42.2,3304.5,782.5,2043.5,122.0
Graciela Borges,7.95,2,15.9,829.5,3265.0,2047.25,123.5
Elsa Lanchester,7.95,2,15.9,829.5,3265.0,2047.25,123.5
Fikret Kuskan,7.9,2,15.8,880.0,3285.5,2082.75,129.0
Ruriko Asaoka,7.9,2,15.8,880.0,3285.5,2082.75,129.0
Pruitt Taylor Vince,7.9,2,15.8,880.0,3285.5,2082.75,129.0
Martin Gore,7.9,2,15.8,880.0,3285.5,2082.75,129.0
Emil Jannings,7.9,2,15.8,880.0,3285.5,2082.75,129.0
Wilko Johnson,7.9,2,15.8,880.0,3285.5,2082.75,129.0
Fidel Castro,7.9,2,15.8,880.0,3285.5,2082.75,129.0
Otto Sander,7.9,2,15.8,880.0,3285.5,2082.75,129.0
David Ogden Stiers,7.9,2,15.8,880.0,3285.5,2082.75,129.0
Nigel Bruce,6.924999999999998,12,83.09999999999998,4054.0,140.0,2097.0,134.0
Maya Deren,7.85,2,15.7,931.5,3307.0,2119.25,136.5
Osamu Saka,7.85,2,15.7,931.5,3307.0,2119.25,136.5
Gheorghe Dinică,7.85,2,15.7,931.5,3307.0,2119.25,136.5
Ion Besoiu,7.85,2,15.7,931.5,3307.0,2119.25,136.5
Joan Marsh,7.800000000000001,2,15.600000000000001,936.0,3320.0,2128.0,141.0
Max Felder,7.800000000000001,2,15.600000000000001,936.0,3320.0,2128.0,141.0
Ji Sung,7.800000000000001,2,15.600000000000001,936.0,3320.0,2128.0,141.0
Yôko Tsukasa,7.800000000000001,2,15.600000000000001,936.0,3320.0,2128.0,141.0
Brian De Palma,7.800000000000001,2,15.600000000000001,936.0,3320.0,2128.0,141.0
George W. Bush,7.3999999999999995,3,22.2,2116.5,2146.5,2131.5,145.0
Dave Grohl,7.3999999999999995,3,22.2,2116.5,2146.5,2131.5,145.0
Pierre Fresnay,7.3999999999999995,3,22.2,2116.5,2146.5,2131.5,145.0
Daragh O'Malley,6.969999999999999,10,69.69999999999999,4016.0,254.0,2135.0,147.0
Fumio Watanabe,7.366666666666667,3,22.1,2123.5,2153.0,2138.25,148.5
Shûji Sano,7.366666666666667,3,22.1,2123.5,2153.0,2138.25,148.5
Hu Jun,7.333333333333333,3,22.0,2139.5,2163.0,2151.25,152.5
Şener Şen,7.333333333333333,3,22.0,2139.5,2163.0,2151.25,152.5
Omar Sy,7.333333333333333,3,22.0,2139.5,2163.0,2151.25,152.5
Leonardo DiCaprio,7.333333333333333,3,22.0,2139.5,2163.0,2151.25,152.5
Octavia Spencer,7.333333333333333,3,22.0,2139.5,2163.0,2151.25,152.5
AngelaBaby,7.333333333333333,3,22.0,2139.5,2163.0,2151.25,152.5
Rentarô Mikuni,7.06,5,35.3,3267.0,1079.0,2173.0,156.0
Vanessa Paradis,7.8,2,15.6,1023.5,3328.0,2175.75,157.5
Renee Faia,7.8,2,15.6,1023.5,3328.0,2175.75,157.5
Joan Greenwood,7.175000000000001,4,28.700000000000003,2888.0,1484.0,2186.0,159.0
Karen Mok,7.175,4,28.7,2889.0,1490.0,2189.5,160.0
Chris Hemsworth,7.0200000000000005,5,35.1,3315.0,1086.5,2200.75,161.0
David Hemmings,7.15,4,28.6,2917.0,1495.5,2206.25,163.0
Barbra Streisand,7.15,4,28.6,2917.0,1495.5,2206.25,163.0
Arthur Q. Bryan,7.15,4,28.6,2917.0,1495.5,2206.25,163.0
Silvana Mangano,7.125,4,28.5,2941.5,1507.0,2224.25,165.5
Moon Jeong-hee,7.125,4,28.5,2941.5,1507.0,2224.25,165.5
Anne Cornaly,7.75,2,15.5,1114.0,3338.0,2226.0,171.0
Marija Karan,7.75,2,15.5,1114.0,3338.0,2226.0,171.0
Moon So-ri,7.75,2,15.5,1114.0,3338.0,2226.0,171.0
Tora Sudiro,7.75,2,15.5,1114.0,3338.0,2226.0,171.0
Park Shin-hye,7.75,2,15.5,1114.0,3338.0,2226.0,171.0
David Firth,7.75,2,15.5,1114.0,3338.0,2226.0,171.0
Jim Jefferies,7.75,2,15.5,1114.0,3338.0,2226.0,171.0
Anna Seniuk,7.75,2,15.5,1114.0,3338.0,2226.0,171.0
Hilda Borgström,7.75,2,15.5,1114.0,3338.0,2226.0,171.0
Zoe Kazan,7.124999999999999,4,28.499999999999996,2943.0,1510.0,2226.5,176.0
Jung Woo-sung,7.0,6,42.0,3663.0,792.0,2227.5,177.0
Jean-Louis Trintignant,6.9750000000000005,8,55.800000000000004,4013.0,449.0,2231.0,178.0
Beyoncé Knowles,7.1000000000000005,4,28.400000000000002,2953.0,1511.5,2232.25,179.0
Harrison Ford,6.975,8,55.8,4015.0,450.0,2232.5,180.0
Jonny Lee Miller,7.3,3,21.9,2341.0,2178.0,2259.5,184.0
María Casares,7.3,3,21.9,2341.0,2178.0,2259.5,184.0
Suriya ,7.3,3,21.9,2341.0,2178.0,2259.5,184.0
Mireille Perrier,7.3,3,21.9,2341.0,2178.0,2259.5,184.0
Madhabi Mukherjee,7.3,3,21.9,2341.0,2178.0,2259.5,184.0
Ingmar Bergman,7.3,3,21.9,2341.0,2178.0,2259.5,184.0
Marina Vlady,7.3,3,21.9,2341.0,2178.0,2259.5,184.0
Ugur Yücel,7.7,2,15.4,1209.5,3348.5,2279.0,189.0
Tony Robbins,7.7,2,15.4,1209.5,3348.5,2279.0,189.0
Will Allen,7.7,2,15.4,1209.5,3348.5,2279.0,189.0
Niels Arestrup,6.957142857142857,7,48.7,4023.0,588.0,2305.5,191.0
Andrzej Grabowski,7.699999999999999,2,15.399999999999999,1300.5,3354.5,2327.5,193.5
Kathryn McGuire,7.699999999999999,2,15.399999999999999,1300.5,3354.5,2327.5,193.5
Jerzy Stuhr,7.699999999999999,2,15.399999999999999,1300.5,3354.5,2327.5,193.5
Takeru Satoh,7.699999999999999,2,15.399999999999999,1300.5,3354.5,2327.5,193.5
Mimis Fotopoulos,7.65,2,15.3,1308.0,3365.5,2336.75,201.0
Dorothy Provine,7.65,2,15.3,1308.0,3365.5,2336.75,201.0
Pamela Adlon,7.65,2,15.3,1308.0,3365.5,2336.75,201.0
Reinhold Messner,7.65,2,15.3,1308.0,3365.5,2336.75,201.0
Katt Williams,7.65,2,15.3,1308.0,3365.5,2336.75,201.0
Don Hertzfeldt,7.65,2,15.3,1308.0,3365.5,2336.75,201.0
Winston Hibler,7.65,2,15.3,1308.0,3365.5,2336.75,201.0
Lola Albright,7.65,2,15.3,1308.0,3365.5,2336.75,201.0
Marie Bell,7.65,2,15.3,1308.0,3365.5,2336.75,201.0
Anil Chatterjee,7.65,2,15.3,1308.0,3365.5,2336.75,201.0
Ignacio Serricchio,7.65,2,15.3,1308.0,3365.5,2336.75,201.0
Matt Damon,6.808333333333333,12,81.69999999999999,4541.0,150.0,2345.5,207.0
Larry Kramer,7.266666666666667,3,21.8,2536.0,2188.5,2362.25,209.0
Dev Patel,7.266666666666667,3,21.8,2536.0,2188.5,2362.25,209.0
Nicole Garcia,7.266666666666667,3,21.8,2536.0,2188.5,2362.25,209.0
Gemma Jones,7.266666666666666,3,21.799999999999997,2538.0,2193.0,2365.5,211.0
Ethan Hawke,6.818181818181817,11,74.99999999999999,4537.0,200.0,2368.5,212.0
Pierre Niney,7.0,5,35.0,3663.0,1091.5,2377.25,213.5
Morten Grunwald,7.0,5,35.0,3663.0,1091.5,2377.25,213.5
Robert Redford,6.85,10,68.5,4493.5,262.5,2378.0,215.0
Bill Clinton,7.233333333333334,3,21.700000000000003,2569.0,2197.5,2383.25,216.0
Mai Zetterling,7.075,4,28.3,3259.5,1518.0,2388.75,217.0
Ginette Leclerc,7.6,2,15.2,1400.0,3380.0,2390.0,221.0
Caio Blat,7.6,2,15.2,1400.0,3380.0,2390.0,221.0
Philippe Torreton,7.6,2,15.2,1400.0,3380.0,2390.0,221.0
Corey Burton,7.6,2,15.2,1400.0,3380.0,2390.0,221.0
Bob Swerer Jr.,7.6,2,15.2,1400.0,3380.0,2390.0,221.0
Han Hyo-joo,7.6,2,15.2,1400.0,3380.0,2390.0,221.0
