direk,vote_averages,no. of entries,sum of scores,Rank (Vote average),Rank (Sum),Average Rank,Final Ranking
Sergiu Nicolaescu,7.799999999999999,13,101.39999999999999,818.0,257.0,537.5,1.0
Hayao Miyazaki,7.7,14,107.8,889.0,225.5,557.25,2.0
Rocco Urbisci,7.822222222222221,9,70.39999999999999,720.0,506.0,613.0,3.0
Don Hertzfeldt,8.066666666666665,6,48.39999999999999,392.0,955.0,673.5,4.0
Ertem Eğilmez,7.722222222222222,9,69.5,834.0,518.5,676.25,5.0
Christopher Nolan,7.533333333333332,12,90.39999999999999,1089.5,332.0,710.75,6.0
Adam Curtis,7.971428571428572,7,55.800000000000004,656.0,768.0,712.0,7.0
Jean-Pierre Melville,7.413333333333333,15,111.2,1324.0,211.0,767.5,8.0
René Laloux,7.7,8,61.6,889.0,661.5,775.25,9.0
Satyajit Ray,7.320833333333334,24,175.70000000000002,1512.0,55.0,783.5,10.0
Jonas Mekas,8.9,4,35.6,155.0,1453.0,804.0,11.0
Jacques Rivette,7.338888888888889,18,132.1,1506.0,133.0,819.5,12.0
Edward Yang,7.883333333333334,6,47.300000000000004,709.0,987.0,848.0,13.0
Quentin Tarantino,7.489999999999999,10,74.89999999999999,1291.0,457.0,874.0,14.0
Henri-Georges Clouzot,7.550000000000001,8,60.400000000000006,1077.0,680.0,878.5,15.0
Sergio Leone,7.6571428571428575,7,53.6,950.0,817.0,883.5,16.0
Akira Kurosawa,7.276666666666666,30,218.29999999999998,1749.0,25.0,887.0,17.0
Yoshishige Yoshida,7.525,8,60.2,1092.0,684.5,888.25,18.0
F.W. Murnau,7.4399999999999995,10,74.39999999999999,1319.0,464.0,891.5,19.0
Krzysztof Kieślowski,7.323076923076924,13,95.2,1511.0,296.0,903.5,20.0
Alekos Sakellarios,7.455555555555555,9,67.1,1300.0,555.5,927.75,21.0
Franco Piavoli,8.35,4,33.4,272.5,1588.0,930.25,22.0
Lav Diaz,8.225,4,32.9,329.0,1618.0,973.5,23.0
Wes Anderson,7.37,10,73.7,1481.0,470.0,975.5,24.0
David Fincher,7.35,10,73.5,1496.5,473.0,984.75,25.0
Marco Berger,7.82,5,39.1,721.0,1259.5,990.25,26.0
Hong Sang-soo,7.206249999999999,16,115.29999999999998,1809.0,192.0,1000.5,27.0
Michael Snow,8.1,4,32.4,373.5,1650.5,1012.0,28.0
Yann Arthus-Bertrand,7.8,5,39.0,771.5,1268.5,1020.0,29.0
Ingmar Bergman,7.120512820512819,39,277.69999999999993,2037.0,11.0,1024.0,30.0
Luis Buñuel,7.119230769230769,26,185.1,2040.0,44.0,1042.0,31.0
David Lynch,7.115384615384617,26,185.00000000000003,2043.0,45.0,1044.0,32.0
Park Chan-wook,7.311111111111111,9,65.8,1513.0,577.5,1045.25,33.0
François Truffaut,7.1166666666666645,24,170.79999999999995,2042.0,63.0,1052.5,34.0
Xavier Dolan,7.533333333333334,6,45.2,1086.0,1037.5,1061.75,35.0
Akiyuki Shinbo,7.516666666666667,6,45.1,1095.0,1041.0,1068.0,36.0
Robert Bresson,7.224999999999999,12,86.69999999999999,1800.0,348.0,1074.0,37.0
Peter Greenaway,7.18125,16,114.9,1971.0,195.0,1083.0,38.0
Dominic Brigstocke,7.442857142857142,7,52.099999999999994,1318.0,855.0,1086.5,39.0
Nikos Nikolaidis,7.375,8,59.0,1479.5,710.0,1094.75,40.0
Jonathan Hock,8.833333333333334,3,26.5,159.0,2078.0,1118.5,41.0
Luchino Visconti,7.1571428571428575,14,100.2,1986.0,264.0,1125.0,42.0
Giuseppe Tornatore,7.209999999999999,10,72.1,1808.0,486.0,1147.0,43.0
Martin Scorsese,7.017500000000003,40,280.7000000000001,2303.0,10.0,1156.5,44.0
Billy Wilder,7.025925925925925,27,189.7,2291.0,41.0,1166.0,45.0
Carl Theodor Dreyer,7.277777777777778,9,65.5,1748.0,587.0,1167.5,46.5
Peter Jackson,7.138461538461537,13,92.79999999999998,2023.0,312.0,1167.5,46.5
Peter Brook,7.385714285714286,7,51.7,1477.0,861.0,1169.0,48.0
Leonid Gayday,7.130769230769231,13,92.7,2031.0,313.0,1172.0,49.0
Pedro Almodóvar,7.0600000000000005,20,141.20000000000002,2238.0,109.0,1173.5,50.0
Zeki Demirkubuz,7.449999999999999,6,44.699999999999996,1314.0,1055.0,1184.5,51.0
Asghar Farhadi,7.433333333333334,6,44.6,1320.5,1056.0,1188.25,52.0
Kihachi Okamoto,7.416666666666667,6,44.5,1323.0,1059.0,1191.0,53.0
Hirokazu Koreeda,7.116666666666666,12,85.39999999999999,2041.0,358.5,1199.75,54.0
Béla Tarr,7.154545454545455,11,78.7,1987.0,420.0,1203.5,55.0
Jia Zhangke,7.21111111111111,9,64.89999999999999,1807.0,601.0,1204.0,56.0
Miguel Gomes,7.85,4,31.4,715.0,1706.5,1210.75,57.0
Camillo Mastrocinque,7.5200000000000005,5,37.6,1094.0,1335.5,1214.75,58.0
