,vote_average,Final Rank
Animation,6.275180972078594,1.0
History,6.154220314735336,2.0
War,6.041118669690098,3.0
Drama,5.905221081721279,4.0
Music,5.879599499374216,5.0
Crime,5.8784072440213615,6.0
Documentary,5.823092573753814,7.0
Mystery,5.82047020672882,8.0
Romance,5.802657757980697,9.0
Fantasy,5.7877215737137915,10.0
Family,5.753393501805054,11.0
Foreign,5.737977805178792,12.0
Comedy,5.715741162190866,13.0
Adventure,5.6860697940503435,14.0
Thriller,5.616712580348944,15.0
Action,5.584167424931756,16.0
Science Fiction,5.342894650475878,17.0
TV Movie,5.236292428198433,18.0
Horror,5.230393835616438,19.0
Western,5.167178502879079,20.0
