original_language,vote_averages,no. of entries,sum of scores,Rank (Vote average),Rank (Sum),Average Rank,Final Ranking
ko,6.570045045045054,444,2917.100000000004,20.0,9.0,14.5,1.0
ja,6.274203113417358,1349,8463.900000000016,35.0,3.0,19.0,2.5
bn,7.13793103448276,29,207.00000000000003,6.0,32.0,19.0,2.5
ta,6.6923076923076925,78,522.0,15.0,24.0,19.5,4.0
tr,6.537333333333332,150,980.5999999999998,22.0,18.0,20.0,5.5
zh,6.366992665036675,409,2604.1000000000004,30.0,10.0,20.0,5.5
ar,6.817948717948718,39,265.9,11.0,30.0,20.5,7.0
fr,6.056480721903172,2438,14765.699999999935,46.0,2.0,24.0,8.0
el,6.368141592920352,113,719.5999999999998,29.0,20.0,24.5,9.0
tl,6.6521739130434785,23,153.0,16.0,35.0,25.5,10.0
cn,6.1926517571884965,313,1938.2999999999995,40.0,12.0,26.0,11.0
sr,6.452380952380953,63,406.50000000000006,27.0,26.0,26.5,12.5
cs,6.279999999999998,130,816.3999999999996,34.0,19.0,26.5,12.5
ca,6.733333333333333,12,80.8,12.0,43.0,27.5,14.0
id,6.590000000000001,20,131.8,19.0,39.0,29.0,15.0
ml,6.383333333333334,36,229.8,28.0,31.0,29.5,16.0
da,6.092888888888889,225,1370.9,44.0,16.0,30.0,18.0
fa,6.207920792079208,101,627.0,38.0,22.0,30.0,18.0
sq,7.08,5,35.4,7.0,53.0,30.0,18.0
de,5.8631481481481575,1080,6332.20000000001,56.0,5.0,30.5,20.0
mk,7.06,5,35.3,8.0,54.0,31.0,21.0
mn,7.55,2,15.1,3.0,62.0,32.5,22.0
te,6.217777777777777,45,279.79999999999995,37.0,29.0,33.0,23.5
kn,6.966666666666666,3,20.9,9.0,57.0,33.0,23.5
uk,6.4624999999999995,16,103.39999999999999,26.0,41.0,33.5,26.0
am,7.45,2,14.9,4.0,63.0,33.5,26.0
pl,5.9497716894977115,219,1302.9999999999989,50.0,17.0,33.5,26.0
hi,5.779133858267716,508,2935.7999999999997,60.0,8.0,34.0,28.0
ro,6.156140350877195,57,350.9000000000001,41.0,28.0,34.5,30.0
