,vote_average,revenue
0,7.7,373554033.0
1,6.9,262797249.0
2,6.5,0.0
3,6.1,81452156.0
4,5.7,76578911.0
5,7.7,187436818.0
6,6.2,0.0
7,5.4,0.0
8,5.5,64350171.0
9,6.6,352194034.0
10,6.5,107879496.0
11,5.7,0.0
12,7.1,11348324.0
13,7.1,13681765.0
14,5.7,10017322.0
15,7.8,116112375.0
16,7.2,135000000.0
17,6.5,4300000.0
18,6.1,212385533.0
19,5.4,35431113.0
20,6.4,115101622.0
21,6.5,0.0
22,6.0,30303072.0
23,6.3,0.0
24,7.1,49800000.0
25,7.0,0.0
26,6.6,27400000.0
27,7.4,0.0
28,7.6,1738611.0
29,6.5,0.0
30,6.4,180000000.0
31,7.4,168840000.0
32,6.8,0.0
33,6.0,254134910.0
34,6.4,0.0
35,7.3,39363635.0
36,3.5,0.0
37,6.1,0.0
38,6.9,0.0
39,6.7,676525.0
40,6.9,0.0
41,6.6,0.0
42,6.3,0.0
43,5.4,122195920.0
44,6.7,21284514.0
45,6.5,23574130.0
46,8.1,327311859.0
47,6.7,346079773.0
48,5.9,0.0
49,8.1,23341568.0
50,6.3,0.0
51,6.7,6700000.0
52,7.7,0.0
53,5.2,0.0
54,6.1,0.0
55,3.0,0.0
56,6.3,17519169.0
57,7.6,0.0
58,6.5,0.0
59,5.9,0.0
60,5.8,0.0
61,6.9,106269971.0
62,6.2,0.0
63,4.5,0.0
64,4.4,0.0
65,2.8,2409225.0
66,5.4,0.0
67,6.0,0.0
68,7.0,28215918.0
69,6.9,25836616.0
70,4.1,11534477.0
71,7.0,718490.0
72,6.6,0.0
73,5.1,19030691.0
74,3.9,2042530.0
75,6.1,5781885.0
76,7.3,0.0
77,6.1,0.0
78,5.5,0.0
79,7.5,0.0
80,6.7,529766.0
81,7.2,0.0
82,4.5,0.0
83,0.0,0.0
84,6.3,0.0
85,6.3,10300000.0
86,5.1,0.0
87,6.0,32.0
88,6.1,8175346.0
89,6.7,0.0
90,5.7,12379402.0
91,4.5,19800000.0
92,6.6,0.0
93,5.7,150270147.0
94,7.5,0.0
95,7.9,0.0
96,5.6,0.0
97,6.8,0.0
98,6.0,0.0
99,6.8,560069.0
100,3.3,0.0
101,5.3,0.0
102,6.5,41205099.0
103,7.3,182016617.0
104,5.1,0.0
105,6.5,34327391.0
106,7.0,0.0
107,0.0,0.0
108,7.7,210000000.0
109,8.1,28262574.0
110,6.5,32392047.0
111,5.8,0.0
112,7.5,0.0
113,7.0,0.0
114,7.3,1.0
115,6.9,0.0
116,5.4,0.0
117,5.1,6278139.0
118,5.2,0.0
119,7.0,0.0
120,5.4,70100000.0
121,7.9,0.0
122,6.8,0.0
123,6.3,14702438.0
124,4.4,0.0
125,4.3,0.0
126,0.0,0.0
127,7.0,0.0
128,5.6,0.0
129,5.4,0.0
130,5.1,9851610.0
131,5.5,0.0
132,0.0,0.0
133,5.6,0.0
134,6.5,0.0
135,3.8,209935.0
136,7.2,0.0
137,0.0,0.0
138,5.9,0.0
139,6.7,185260553.0
140,7.0,0.0
141,6.3,0.0
142,6.5,141407024.0
143,5.0,0.0
144,7.2,0.0
145,6.0,851545.0
146,6.5,0.0
147,7.3,355237933.0
148,6.5,31596911.0
149,6.4,0.0
150,5.2,336529144.0
151,7.3,0.0
152,6.4,0.0
153,6.8,1275000.0
154,5.9,178104.0
155,6.0,287928194.0
156,6.8,13071518.0
157,5.0,152022101.0
158,7.0,157387195.0
159,7.6,3174695.0
160,6.8,25405445.0
161,6.3,16140822.0
162,6.9,366101666.0
163,5.6,0.0
164,0.0,0.0
165,5.9,127600435.0
166,5.5,0.0
167,6.2,7563728.0
168,6.5,0.0
169,5.5,19075720.0
170,5.4,113493481.0
171,4.0,17014653.0
172,6.8,7412216.0
173,7.2,1148752.0
174,5.9,0.0
175,7.0,0.0
176,5.5,15453274.0
177,6.8,2122561.0
178,5.2,66000000.0
179,5.6,0.0
180,6.4,1.0
181,5.9,0.0
182,5.6,110627965.0
183,5.5,69660733.0
184,5.8,472370.0
185,6.4,16.0
186,10.0,0.0
187,7.2,0.0
188,5.5,10382407.0
189,5.3,0.0
190,4.9,20350754.0
191,7.2,8349430.0
192,5.7,50892160.0
193,5.5,113374103.0
194,6.6,0.0
195,6.8,7959291.0
196,7.6,0.0
197,4.6,5780000.0
198,6.1,7025496.0
199,6.5,339889.0
200,6.3,47774193.0
201,5.6,104324083.0
202,6.4,0.0
203,6.0,0.0
204,6.5,50012507.0
205,5.9,264218220.0
206,5.1,0.0
207,5.9,0.0
208,6.0,0.0
209,4.9,0.0
210,6.7,2616503.0
211,7.7,763847.0
212,7.7,5535405.0
213,6.2,26488734.0
214,4.7,0.0
215,6.3,23450000.0
216,7.2,0.0
217,5.8,0.0
218,6.5,0.0
219,7.4,3151130.0
220,6.3,22200000.0
221,5.9,214015089.0
222,2.5,0.0
223,5.1,0.0
224,5.3,0.0
225,7.1,0.0
226,7.1,0.0
227,6.5,247275374.0
228,7.5,7294403.0
229,6.5,0.0
230,4.3,6841570.0
231,7.3,5887457.0
232,6.2,0.0
233,6.1,0.0
234,5.6,0.0
235,6.7,35348597.0
236,5.0,12201255.0
237,6.6,0.0
238,5.9,0.0
239,3.0,3992809.0
240,5.0,0.0
241,5.4,0.0
242,7.7,7830611.0
243,6.9,3049135.0
244,6.0,26325256.0
245,6.9,0.0
246,6.0,17689177.0
247,6.0,0.0
248,5.9,0.0
249,7.2,223664608.0
250,5.2,2474000.0
251,4.8,0.0
252,4.7,37000000.0
253,6.0,0.0
254,4.3,0.0
255,5.7,0.0
256,8.1,775398007.0
257,7.0,0.0
258,7.4,0.0
259,7.4,0.0
260,6.6,0.0
261,6.6,21665468.0
262,7.2,160638883.0
263,6.1,0.0
264,6.4,0.0
265,5.7,0.0
266,4.3,0.0
267,6.4,7603766.0
268,6.7,0.0
269,6.1,112006296.0
270,5.1,0.0
271,5.2,0.0
272,5.6,18137661.0
273,6.4,46264384.0
274,5.6,5.0
275,7.0,0.0
276,6.9,17381942.0
277,7.0,0.0
278,6.1,106683817.0
279,6.9,0.0
280,0.0,0.0
281,4.0,0.0
282,4.6,0.0
283,7.4,0.0
284,6.9,50282766.0
285,6.4,0.0
286,7.6,2201126.0
287,4.6,0.0
288,6.4,189859560.0
289,8.2,45284974.0
290,6.6,2832826.0
291,7.0,0.0
292,8.3,213928762.0
293,6.4,6834525.0
294,6.1,152322.0
295,6.4,4176932.0
296,7.1,0.0
297,7.4,0.0
298,7.0,0.0
299,6.2,18552460.0
300,6.4,12400000.0
301,5.3,11300653.0
302,7.8,0.0
303,7.7,0.0
304,7.3,0.0
305,7.0,0.0
306,5.1,0.0
307,4.7,0.0
308,5.0,0.0
309,6.5,9771658.0
310,6.1,0.0
311,5.5,170362582.0
312,6.8,196567262.0
