actor1,vote_averages,no. of entries,sum of scores,Rank (Vote average),Rank (Sum),Average Rank,Final Ranking
Sergiu Nicolaescu,7.900000000000001,6,47.400000000000006,463.0,773.0,618.0,1.0
Toshirō Mifune,7.439130434782611,23,171.10000000000005,1165.0,84.0,624.5,2.0
Paul Scofield,7.833333333333333,6,47.0,522.5,780.0,651.25,3.0
Bill Hicks,7.816666666666666,6,46.9,525.0,781.5,653.25,4.0
Mariko Okada,7.9799999999999995,5,39.9,457.0,978.5,717.75,5.0
Jimmy Carr,7.5125,8,60.1,939.0,585.0,762.0,6.0
Louis C.K.,7.666666666666667,6,46.0,766.5,794.5,780.5,7.0
Marek Kondrat,7.719999999999999,5,38.599999999999994,653.0,1025.5,839.25,8.0
Will Hay,7.9750000000000005,4,31.900000000000002,458.0,1276.5,867.25,9.0
Emil Jannings,7.5,7,52.5,1044.5,692.0,868.25,10.0
Aleksandr Demyanenko,7.95,4,31.8,459.5,1283.0,871.25,11.0
Kemal Sunal,7.283333333333333,18,131.1,1610.0,174.0,892.0,12.0
Atsuko Tanaka,7.639999999999999,5,38.199999999999996,781.0,1038.5,909.75,13.0
Derek Jacobi,7.824999999999999,4,31.299999999999997,524.0,1303.5,913.75,14.0
Don Hertzfeldt,8.366666666666665,3,25.099999999999998,157.0,1686.5,921.75,15.0
George Carlin,7.264285714285714,14,101.7,1614.0,269.0,941.5,16.0
Vittorio De Sica,7.312500000000001,8,58.50000000000001,1357.0,608.0,982.5,17.0
Jenny Karezi,7.725,4,30.9,652.0,1321.5,986.75,18.0
Leonid Barats,7.433333333333334,6,44.6,1168.5,836.5,1002.5,19.0
Leonardo DiCaprio,7.12,20,142.4,1869.0,139.0,1004.0,20.0
Thanasis Vengos,8.033333333333333,3,24.1,258.0,1758.5,1008.25,21.0
Melvil Poupaud,7.7,4,30.8,707.0,1327.0,1017.0,22.5
Amza Pellea,7.7,4,30.8,707.0,1327.0,1017.0,22.5
Chang Chen,7.65,4,30.6,774.0,1337.5,1055.75,24.5
Noah Taylor,7.65,4,30.6,774.0,1337.5,1055.75,24.5
Megumi Ogata,7.6499999999999995,4,30.599999999999998,780.0,1342.0,1061.0,26.0
Rentarô Mikuni,7.625,4,30.5,784.5,1347.5,1066.0,27.5
Münir Özkul,7.625,4,30.5,784.5,1347.5,1066.0,27.5
Deanna Durbin,7.299999999999999,9,65.69999999999999,1609.0,529.0,1069.0,29.0
Setsuko Hara,7.383333333333333,6,44.3,1332.0,845.5,1088.75,30.0
Josef Hader,7.6,4,30.4,852.0,1352.5,1102.25,31.0
Bill Burr,7.933333333333334,3,23.8,462.0,1784.0,1123.0,32.0
Raimu,7.42,5,37.1,1173.5,1084.5,1129.0,33.5
Doug Stanhope,7.42,5,37.1,1173.5,1084.5,1129.0,33.5
John Carpenter,7.575,4,30.3,918.5,1357.5,1138.0,35.5
Oscar Isaac,7.575,4,30.3,918.5,1357.5,1138.0,35.5
Jim Jefferies,7.525,4,30.1,937.0,1367.0,1152.0,38.0
Luigi Lo Cascio,7.525,4,30.1,937.0,1367.0,1152.0,38.0
Roger Corman,7.525,4,30.1,937.0,1367.0,1152.0,38.0
Vasco Santana,7.8999999999999995,3,23.7,518.0,1794.0,1156.0,40.0
Raj Kapoor,9.5,2,19.0,47.5,2269.0,1158.25,41.0
Bill Bailey,7.833333333333333,3,23.5,522.5,1803.5,1163.0,42.0
